brand,category,tradition,founding_year,source_url,notes
"TWG Tea",premium_tea,chinese,2008,,"DRAFT — verify"
"Ten Ren's Tea",premium_tea,chinese,1953,,"DRAFT — verify"
"TenFu's Tea",premium_tea,chinese,1993,,"DRAFT — verify"
"Jing Tea",premium_tea,chinese,2004,,"DRAFT — verify"
"Ippodo Tea",premium_tea,japanese,1717,,"DRAFT — verify"
"Marukyu Koyamaen",premium_tea,japanese,1704,,"DRAFT — verify"
"Lupicia",premium_tea,japanese,1994,,"DRAFT — verify"
"Ito En",premium_tea,japanese,1966,,"DRAFT — verify"
"Twinings",premium_tea,british,1706,,"DRAFT — verify"
"Fortnum & Mason",premium_tea,british,1707,,"DRAFT — verify"
"Whittard of Chelsea",premium_tea,british,1886,,"DRAFT — verify"
"Tea Pigs",premium_tea,british,2006,,"DRAFT — verify"
"Postcard Teas",premium_tea,british,2002,,"DRAFT — verify"
"Makaibari",premium_tea,indian,1859,,"DRAFT — verify"
"Glenburn Tea Estate",premium_tea,indian,1859,,"DRAFT — verify"
"Vahdam Teas",premium_tea,indian,2015,,"DRAFT — verify"
"Tea Box",premium_tea,indian,2012,,"DRAFT — verify"
"Harney & Sons",premium_tea,us_specialty,1983,,"DRAFT — verify"
"Rishi Tea",premium_tea,us_specialty,1997,,"DRAFT — verify"
"Numi Organic Tea",premium_tea,us_specialty,1999,,"DRAFT — verify"
"Smith Teamaker",premium_tea,us_specialty,2009,,"DRAFT — verify"
"Republic of Tea",premium_tea,us_specialty,1992,,"DRAFT — verify"
"Wang De Chuan",premium_tea,chinese,1862,,"DRAFT — verify (alternate A1)"
"In Pursuit of Tea",premium_tea,chinese,2002,,"DRAFT — verify (alternate A2)"
"Yunnan Sourcing",premium_tea,chinese,2004,,"DRAFT — verify (alternate A3)"
