canonical,total_mentions,primary_type,english_language,description
Capezzana,44,other,unclear,"Unclear entity name in a knife-discussion context; not enough information to determine whether it refers to a knife-related brand, person, or term."
Frantoia,39,knife_brand,non_english,Italian knife brand known for kitchen knives and cutlery.
Oro Bailen,25,knife_brand,non_english,Spanish knife brand known for kitchen knives and olive-oil-related branding; primarily a Spanish-language brand.
Seka Hills,25,other,english,"Seka Hills is a California agricultural brand/producer best known for olive oil and related food products, not a knife-specific entity."
Frantoio Franci,24,other,non_english,Italian olive oil producer/brand; not a knife-related entity.
Fat Gold,23,other,unclear,"Unclear entity name in a knife-discussion context; could refer to a product line, nickname, or material-related term, but not enough context to identify confidently."
Laconiko,22,knife_brand,non_english,Greek knife brand known for handmade kitchen knives and olive-wood handled products.
Séka Hills,22,other,unclear,"Name of a brand or organization; in a knife-discussion context it likely refers to Séka Hills, the California Native American-owned olive oil and food brand rather than a knife-specific entity."
Kirkland Signature,19,other,english,"Costco's private-label brand; not a knife maker, but sometimes appears on kitchen products and cookware."
O-Med,19,knife_brand,english,Knife brand / retailer associated with kitchen knives and sharpening products; likely an English-language brand presence.
Wonder Valley,18,other,english,Wonder Valley is a brand name; in a knife-discussion context it most likely refers to a kitchen goods or olive oil brand rather than a knife maker.
Gaea,16,knife_brand,unclear,"Unclear reference; possibly a knife brand or other entity, but not enough context from the name alone."
Pianogrillo,16,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Zingerman's,15,retailer,english,US specialty food retailer and deli brand; mentioned in a knife-discussion context but not a knife-specific entity.
Kirkland Signature Organic Extra Virgin Olive Oil,14,other,english,Kirkland Signature branded organic extra virgin olive oil sold under Costco's house brand.
Castello di Ama,13,other,non_english,"Italian wine estate and producer in Tuscany; not a knife brand, retailer, publication, community, smith, or knife product term."
Frantoia Barbera,11,other,unclear,Likely an olive oil or food product name; not a knife brand or knife-related entity.
Gaea Fresh,11,other,unclear,"Unclear entity name in a knife-discussion context; possibly a brand or product name, but not enough information to identify it confidently."
Katz,11,knife_brand,unclear,"Katz is likely a knife brand or maker name, but the specific entity is ambiguous without more context."
Pompeian,10,other,unclear,"Ambiguous term; likely refers to something related to Pompeii or a Pompeian style, but not clearly a knife-specific entity."
Trader Joe's,10,retailer,english,US grocery store chain and private-label retailer
Kirkland Signature Organic EVOO,10,other,english,Kirkland Signature branded organic extra-virgin olive oil product sold under Costco's house brand.
Venta del Barón,10,other,unclear,"Spanish olive oil brand/product name; not a knife brand, retailer, publication, community, smith, or knife-related technical term."
Trader Joe's California Estate,9,other,english,"Trader Joe's California Estate appears to be a product or label name associated with Trader Joe's, likely an olive oil or food product line rather than a knife-specific entity."
Eataly,9,retailer,english,"International food and grocery retailer/marketplace with prominent English-language branding and stores, including culinary retail presence."
Liokareas,9,knife_brand,unclear,"Knife-related brand or maker name; likely a knife brand, but I can't confidently identify its market language from the name alone."
Market Hall Foods,9,retailer,english,US gourmet grocery and specialty food retailer with market hall locations and online presence
Terra Creta,9,other,unclear,Greek olive oil producer/brand; not a knife-specific entity.
Oro Bailén,9,other,non_english,"Spanish olive oil producer/brand; not a knife brand, but appears in food-related contexts."
Planeta,9,other,unclear,"Ambiguous name; could refer to a place, brand, or person, but not enough context to identify it as a knife-related entity."
Citizens of Soil,9,other,unclear,"Phrase that appears to be a brand or slogan-like name, but not clearly identifiable from the knife-discussion context."
Badia a Coltibuono,8,other,unclear,Italian estate/winery name; not a knife brand or knife-industry entity.
Olive Oil Times,8,publication,english,"Publication focused on olive oil news and information; not a knife brand, but a media outlet."
Olio Piro,8,knife_brand,unclear,"Knife brand or maker name; likely an artisan or boutique knife brand, but the language/market presence is not clear from the name alone."
EXAU,8,other,unclear,"Unclear entity name; may be an acronym or brand, but not enough context to identify it as a knife-related entity."
Branche,8,other,unclear,"Unclear entity name; could refer to a surname, place, or brand, but not enough context to identify it as a knife-related entity."
Iliada,7,knife_brand,non_english,"Greek knife brand known for kitchen knives and cutlery, with primarily non-English branding."
Heraclea,7,knife_brand,unclear,"Knife brand name mentioned in a premium kitchen knife context; likely a brand or line, but not enough context here to identify its origin or language presence."
California Olive Oil Council,6,other,english,California-based olive oil industry council/association that certifies and promotes olive oil quality.
Olio Nuovo,6,other,unclear,Phrase meaning 'new oil' in Italian; not a knife brand or knife-specific entity.
Maldon,6,other,english,"Maldon is a brand name most commonly associated with Maldon sea salt, a food ingredient brand rather than a knife-specific entity."
Jacobsen,6,smith,unclear,Surname that could refer to a knife maker or another person; insufficient context to identify a specific knife-related entity.
The Governor,6,other,unclear,"Ambiguous name; could refer to a person, title, or brand, but not enough context to identify a knife-related entity."
Pineapple Collaborative,6,other,english,"Brand/community/media name; a collaborative brand or organization, not a knife-specific maker, retailer, publication, or community."
Oro Bailen Picual,6,other,non_english,"Spanish olive oil product/varietal reference: Oro Bailen is an olive oil brand, and Picual is an olive cultivar used for olive oil."
NYIOOC,6,other,english,"NYIOOC (New York International Olive Oil Competition), an olive oil competition/award organization sometimes mentioned in food media contexts."
NYIOOC World Olive Oil Competition,6,other,english,"World olive oil competition (New York International Olive Oil Competition), an awards event for olive oils rather than a knife-related brand or publication."
Kirkland Signature Organic,5,other,english,"Kirkland Signature Organic is a Costco private-label organic product line, not a knife brand or knife-related technical term."
Trader Joe's California Estate EVOO,5,other,english,"Trader Joe's store-brand California extra virgin olive oil (EVOO), a grocery product rather than a knife-related entity."
Frantoio Grove,5,other,unclear,"Likely an olive oil producer or grove name; not a knife-specific brand, retailer, publication, community, smith, or product term."
Olive Oil Lovers,5,community,english,"An English-language community or interest group focused on olive oil, likely a forum, social group, or brand/community name."
Rincón de la Subbética,5,other,non_english,"Spanish olive oil brand/product name; not a knife brand, retailer, publication, community, smith, or knife-related product term."
Fèlsina,5,other,non_english,Italian wine producer/brand (not a knife-related entity)
Tenuta di Capezzana,5,other,unclear,Italian wine estate/producer; not a knife-related brand or term.
Kalamata Gold,5,other,unclear,"Unclear entity name in a knife-discussion context; possibly a product line, finish, or brand, but not enough information to identify confidently."
Olio2Go,5,retailer,english,Online kitchen knife retailer / e-commerce site selling knives and related gear.
Costco Kirkland Organic,5,other,english,"Costco Kirkland Organic appears to refer to Costco's Kirkland private-label organic product line, not a knife-specific brand or term."
Flos Olei,5,other,unclear,"Flos Olei is a guidebook/guide brand for olive oil, not a knife-related entity."
Kirkland,4,other,english,Kirkland is a private-label house brand used by Costco; in a knife context it would refer to Costco's store brand rather than a dedicated knife maker.
