brand,cell,country,company_founded,product_line_start,cross_cultural_flag,borderline_flag,cascade_order,notes
Sennheiser,A_Heritage,Germany,1945,1968,False,False,1,HD-series flagship (HD600 / HD650 / HD800S)
Beyerdynamic,A_Heritage,Germany,1924,1937,False,False,2,DT-series and Tesla flagship
Denon,A_Heritage,Japan,1910,2007,False,False,3,AH-D7000 (2007) → D9200 audiophile line
Grado,A_Heritage,USA,1953,1991,False,False,4,RS / PS / Statement series
Sony,A_Heritage,Japan,1946,1989,False,False,5,MDR-R10 (1989) anchor; MDR-Z1R (2017) current flagship
Audio-Technica,A_Heritage,Japan,1962,1989,False,False,6,ATH-W / AD / R series
Stax,A_Heritage,Japan,1938,1960,True,False,7,SR-series electrostatics (CROSS-CULTURAL FLAG)
Koss,A_Heritage,USA,1958,1971,False,False,8,ESP-9 / Porta Pro / ESP-95X
Audeze,B_Boutique,USA,2008,2009,False,False,1,LCD-series planars
HiFiMan,B_Boutique,China,2007,2008,True,False,2,Susvara / HE1000 / Arya (CROSS-CULTURAL FLAG)
Focal,B_Boutique,France,1979,2012,False,True,3,BORDERLINE: company 1979; headphone debut Spirit One 2012
Meze,B_Boutique,Romania,2009,2015,False,False,4,99 Classics (2015) → Empyrean (2018) → Elite
ZMF Headphones,B_Boutique,USA,2011,2013,False,False,5,Verite / Atrium / Caldera handcrafted
Spirit Torino,B_Boutique,Italy,2011,2014,False,False,6,Pulsar / Valkyria flagship
Final Audio,B_Boutique,Japan,1974,2010,False,True,7,BORDERLINE: company 1974; audiophile renaissance post-2010 (D8000)
Dan Clark Audio,B_Boutique,USA,2013,2014,False,False,8,Formerly MrSpeakers; Aeon Flow → Stealth → Expanse
