wave_v10,prompt_id,cep,model_version,run_idx,valence,entity_reference,primary_class,e3_sensitivity_class,e5_triggered,source_quote,raw_response_preview
t1,p1_functional,FUNCTIONAL_WHY,gpt-5.4-mini,1,status_correction,both,caveated,caveated,False,"Since Mint shut down, many people moved to **Monarch Money**, **Empower**, or **Rocket Money**","The “best” app depends on how hands-on you want to be, but here are the top choices for most people:  ### Best overall: **YNAB (You Need A Budget)** - Best for: serious budgeting and changing spending..."
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,1,live_with_caveat,legacy_brand,caveated,caveated,False,"- **Mint** - comprehensive tracking, automatic categorization *(note: being discontinued, check current status)*","## Popular Budgeting Apps to Consider  There's no single ""best"" app since it depends on your needs, but here are strong options:  ### Free Options - **Mint** - comprehensive tracking, automatic catego..."
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,2,live_with_caveat,legacy_brand,caveated,caveated,False,"Mint (Free) - Automatic transaction tracking - Budget categories - *Note: Mint shut down in 2024, so check current availability*","There are several good options depending on your needs:  ## Popular Choices  **Mint** (Free) - Automatic transaction tracking - Budget categories - *Note: Mint shut down in 2024, so check current avai..."
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,3,live_with_caveat,legacy_brand,caveated,caveated,False,"**Mint** (Free) - Automatic transaction tracking - Budget categories - Credit score monitoring - *Note: Mint shut down in 2024, so check current status*",There are several good options depending on your needs:  ## Popular Choices  **Mint** (Free) - Automatic transaction tracking - Budget categories - Credit score monitoring - *Note: Mint shut down in 2...
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,4,live_with_caveat,legacy_brand,caveated,caveated,False,"- **Mint** - Comprehensive, auto-syncs with accounts *(note: being discontinued, check current status)*","## Popular Budgeting Apps to Consider  There's no single ""best"" app since it depends on your needs, but here are strong options:  ### Free Options - **Mint** - Comprehensive, auto-syncs with accounts ..."
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,5,status_correction,legacy_brand,caveated,caveated,False,"**Mint** (Free) - Automatic transaction tracking - Good for beginners - Note: Mint shut down in 2024, so check current status",# Best Budgeting Apps  There are several strong options depending on your needs:  ## Most Popular Choices  **Mint** (Free) - Automatic transaction tracking - Good for beginners - Note: Mint shut down ...
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,6,live_with_caveat,legacy_brand,caveated,caveated,False,"**Mint** *(Free)* - Automatic transaction tracking - Budget categories - Good overview dashboard - Note: Being discontinued, so check current status",There are several good options depending on your needs:  ## Popular Choices  **Mint** *(Free)* - Automatic transaction tracking - Budget categories - Good overview dashboard - Note: Being discontinued...
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,7,live_with_caveat,legacy_brand,caveated,caveated,False,"Mint (free) - Automatic transaction tracking - Budget categories - *Note: Mint shut down in 2024, so check current availability*","There are several good options depending on your needs:  ## Popular Choices  **Mint** (free) - Automatic transaction tracking - Budget categories - *Note: Mint shut down in 2024, so check current avai..."
t1,p1_functional,FUNCTIONAL_WHY,claude-sonnet-4-6,8,live_with_caveat,legacy_brand,caveated,caveated,False,"- **Mint** - comprehensive, automatic transaction tracking (note: Mint shut down in 2024, but alternatives exist)","There are several good options depending on your needs:  ## Popular Choices  **Free Options** - **Mint** - comprehensive, automatic transaction tracking (note: Mint shut down in 2024, but alternatives..."
t1,p2_contextual,CONTEXTUAL_WHEN,claude-sonnet-4-6,1,status_correction,both,caveated,caveated,True,- **Mint** (shutting down) - many users moved to **Credit Karma** or **Monarch Money**,"Congrats on paying off your debt! That's a real accomplishment.  For savings apps, here are some honest considerations:  ## Popular Options Worth Considering  **For goal-based saving:** - **YNAB** - G..."
t1,p2_contextual,CONTEXTUAL_WHEN,claude-sonnet-4-6,2,status_correction,legacy_brand,caveated,caveated,False,Mint - free but was discontinued; Credit Karma or Monarch Money are common replacements,Congrats on paying off your debt! Here are some honest thoughts on choosing an app:  ## Popular Options Worth Considering  **For budgeting/planning:** - **YNAB (You Need A Budget)** - great for intent...
t1,p2_contextual,CONTEXTUAL_WHEN,claude-sonnet-4-6,4,status_correction,legacy_brand,caveated,caveated,False,Mint (being discontinued) → EveryDollar or Monarch Money as alternatives,"Congrats on paying off the debt! That's a real accomplishment.  For savings apps, here are some honest considerations rather than just a list:  ## Popular Options Worth Considering  **For automated sa..."
t1,p2_contextual,CONTEXTUAL_WHEN,claude-sonnet-4-6,5,live_with_caveat,both,caveated,caveated,True,"Mint (or its successor Credit Karma) - Free, decent overview","Congrats on paying off the debt! That's a real accomplishment.  For savings apps, here are some honest considerations:  ## Popular Options Worth Considering  **For goal-based saving:** - **YNAB** - Gr..."
t1,p2_contextual,CONTEXTUAL_WHEN,claude-sonnet-4-6,7,status_correction,legacy_brand,caveated,caveated,False,"Mint - free, but was discontinued; Monarch Money is a common replacement","Congrats on paying off your debt! That's a real accomplishment.  For savings apps, here are some honest options to consider:  ## Popular Choices  **For simple savings goals:** - **Ally Bank** - high-y..."
