canonical,total_mentions,primary_type,english_language,description
Fidelity,21,other,english,Financial services company and investment brand; not a knife-specific entity.
Vanguard,20,other,unclear,"Ambiguous term; could refer to a brand, model line, or unrelated entity, but not enough context to identify it as a knife-specific entity."
Honeydue,18,other,unclear,Unclear entity name in a knife-discussion context; not enough information to determine what Honeydue refers to.
Qapital,16,other,unclear,"Unclear entity in a knife-discussion context; likely a brand or company name, but not enough information to identify it confidently."
Credit Karma,16,other,english,"Personal finance company and credit monitoring service; not a knife-related brand, retailer, or publication."
Schwab,15,other,unclear,"Ambiguous surname or name; in a knife-discussion context it could refer to a person or brand, but not enough context to identify confidently."
Google Sheets,14,other,english,Google's spreadsheet application and cloud-based document editor.
SoFi,13,other,english,"SoFi is a financial services company/brand, not a knife-specific entity."
Ally,11,other,unclear,"Ambiguous name; could refer to a person, brand, or other entity, but no knife-discussion context is provided."
Marcus,11,other,unclear,"A personal name; in a knife-discussion context this could refer to a person named Marcus, but the specific entity is not identifiable from the name alone."
Excel,10,other,english,Microsoft Excel spreadsheet software; not a knife-specific entity.
Ally Bank,7,other,english,Online banking brand and financial institution; not a knife-related entity.
Splitwise,7,other,english,Expense-splitting app/service; not a knife brand or knife-industry entity.
Chime,6,other,unclear,"Ambiguous term; could refer to a brand, person, or unrelated concept, but not clearly identifiable as a knife-related entity from the name alone."
Expensify,6,other,english,"Expense management software company; not a knife-related brand, retailer, publication, community, smith, or product term."
Capital One 360,5,other,english,"U.S. banking product/account brand (Capital One 360), not a knife-related entity"
Experian,4,other,english,"Credit reporting and financial services company; not a knife-specific brand, retailer, publication, community, smith, or product term."
Fidelity Full View,4,other,english,"Likely a product or feature name; 'Fidelity Full View' does not appear to be a knife brand, retailer, publication, community, smith, or knife-specific technical term."
M1 Finance,4,other,english,"Personal finance/investing company or platform; not a knife-related brand, retailer, publication, community, smith, or product term."
Betterment,3,other,english,"Betterment is a financial services company/robo-advisor, not a knife-related brand or term."
Wealthfront,3,other,english,"Financial technology company and investment management platform; not a knife-related brand, retailer, publication, community, smith, or product term."
Robinhood,3,other,english,Online brokerage and investing platform; not a knife-specific entity.
Zeta,3,other,unclear,Ambiguous name; could refer to many things and is not identifiable as a knife-related entity from the provided context.
Undebt.it,3,other,unclear,"Unknown entity name; not recognizable as a knife brand, retailer, publication, community, smith, or product term in a knife-discussion context."
QuickBooks,3,other,english,Accounting software and business bookkeeping brand; not a knife-related entity.
Wave,3,other,unclear,"Ambiguous term; could refer to many things, but in a knife-discussion context it is not clearly a specific knife-related entity."
MyFICO,3,other,english,Credit score and financial services website/brand; not a knife-specific entity.
Dave Ramsey,2,other,english,"American personal finance radio host, author, and media personality; not a knife-specific entity."
Marcus by Goldman Sachs,2,other,english,"A Goldman Sachs-related name; likely refers to a financial services brand or product line, not a knife-specific entity."
Oportun,2,other,unclear,"Unclear entity name; could refer to a company or brand, but not enough context to identify it as a knife-related entity."
Acorns,2,other,english,"Acorns is a general English-language term/name; in a knife-discussion context it does not clearly refer to a knife-specific brand, retailer, publication, community, smith, or product term."
Discover,2,other,english,Generic English verb/noun meaning to find or learn about something; not a knife-specific entity.
Shoeboxed,2,other,english,A document scanning and receipt-management service/brand; not a knife-specific entity.
Fidelity Cash Management,2,other,english,"Fidelity Cash Management is a financial services/cash management product or account offering from Fidelity, not a knife-related entity."
Capital One,2,other,english,US financial services company and credit card issuer; not a knife-specific entity.
Actual Budget,2,other,english,Likely a budget-oriented publication or media brand; the exact knife-context entity is unclear from the name alone.
Capital One 360 Performance Savings,1,other,english,Capital One 360 Performance Savings is a U.S. bank savings account product offered by Capital One.
Digit,1,other,unclear,"Ambiguous term; could refer to a number digit or a brand/name, but no knife-context identity is clear."
401k,1,other,english,U.S. retirement savings plan term (401(k)); not a knife-related brand or product.
Tricount,1,other,unclear,Unrecognized entity name; likely not a knife-specific brand or term.
Settle Up,1,other,english,Phrase/name that appears to be a generic expression rather than a knife brand or knife-related entity; likely not a specific knife-discussion entity.
Charles Schwab,1,other,english,"Charles Schwab is a financial services company and brokerage firm, not a knife-related entity."
Interactive Brokers,1,other,english,"Financial services brokerage and trading platform; not a knife-related brand, retailer, publication, community, smith, or product term."
Zoho Expense,1,other,english,"Expense management software/service by Zoho, a business SaaS product rather than a knife-related entity."
Morningstar,1,other,unclear,"Ambiguous name; could refer to a person, publication, or brand, but not enough context to identify a knife-related entity."
FreshBooks,1,other,english,"Accounting/invoicing software company; not a knife brand, retailer, publication, community, smith, or product term."
Chase,1,other,unclear,"Ambiguous name; could refer to a person or brand, but no knife-discussion context provided."
Public,1,other,unclear,"Ambiguous mention 'Public'; could refer to a publication or other entity, but insufficient context to classify confidently."
Equifax,1,other,english,US consumer credit reporting agency and data analytics company
TransUnion,1,other,english,US consumer credit reporting agency and financial services company; not a knife-related brand
1Password,1,other,english,Password manager software/service brand; not a knife-related entity.
Bitwarden,1,other,english,"Password manager and security software company; not a knife-related brand, retailer, publication, or community."
Portfolio Visualizer,1,publication,english,"Financial analytics and portfolio backtesting website; not knife-specific, but a web publication/tool brand."
Wallet by BudgetBakers,1,other,english,"Personal finance app 'Wallet' by BudgetBakers; not a knife-related brand, but an app/company name."
Firefly III,1,other,unclear,Unclear entity in a knife-discussion context; likely a software/project name rather than a knife-related brand or term.
Google Sheets/Excel,1,product_term,english,"Spreadsheet software used for organizing and comparing information; in this context, a generic reference to Google Sheets or Microsoft Excel."
