arm,brand,cascade_order,cell,latency_ms,model_id,probe_text,recognized,resolved_version,response_text,slot,timestamp
A,Mercedes-Benz,1,A,3794,claude-opus-4-5-20251101,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:47:51.616859+00:00
A,Mercedes-Benz,1,A,2560,claude-sonnet-4-5-20250929,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:47:54.177146+00:00
A,Mercedes-Benz,1,A,2489,gpt-4o-2024-11-20,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:47:56.666594+00:00
A,Mercedes-Benz,1,A,1727,gpt-4o-mini-2024-07-18,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:47:58.394073+00:00
A,Mercedes-Benz,1,A,1062,gemini-2.5-flash,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:47:59.456521+00:00
A,Mercedes-Benz,1,A,466,gemini-2.5-flash-lite,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:47:59.922684+00:00
A,Jaguar,2,A,2074,claude-opus-4-5-20251101,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:01.996891+00:00
A,Jaguar,2,A,5745,claude-sonnet-4-5-20250929,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:48:07.741807+00:00
A,Jaguar,2,A,891,gpt-4o-2024-11-20,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:08.633276+00:00
A,Jaguar,2,A,1538,gpt-4o-mini-2024-07-18,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:10.171058+00:00
A,Jaguar,2,A,1052,gemini-2.5-flash,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:11.222839+00:00
A,Jaguar,2,A,347,gemini-2.5-flash-lite,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:11.569684+00:00
A,Cadillac,3,A,920,claude-opus-4-5-20251101,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:12.489782+00:00
A,Cadillac,3,A,1848,claude-sonnet-4-5-20250929,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:48:14.337673+00:00
A,Cadillac,3,A,598,gpt-4o-2024-11-20,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:14.935594+00:00
A,Cadillac,3,A,470,gpt-4o-mini-2024-07-18,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:15.405200+00:00
A,Cadillac,3,A,940,gemini-2.5-flash,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:16.345272+00:00
A,Cadillac,3,A,381,gemini-2.5-flash-lite,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:16.726177+00:00
A,Rolls-Royce,4,A,1170,claude-opus-4-5-20251101,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:17.896423+00:00
