canonical,total_mentions,primary_type,english_language,description
Trader Joe's California Estate,10,other,english,"Trader Joe's California Estate appears to be a product or label name associated with Trader Joe's, likely an olive oil or similar grocery item, rather than a knife-specific entity."
Castello di Ama,8,other,non_english,Italian wine estate and producer; not a knife brand or knife-related entity.
Terra Delyssa,8,other,unclear,Brand name for an olive oil company; not a knife-specific entity.
Kirkland,7,other,english,Kirkland is a private-label consumer brand used by Costco; in a knife context it would refer to Costco's house brand rather than a knife-specific maker.
Frantoia,7,other,unclear,"Frantoia is likely an olive oil brand/product name, not a knife brand or knife-related technical term."
Olio Piro,7,knife_brand,unclear,"Knife brand or maker name; likely an artisan or boutique knife brand, but the language/market presence is not clear from the name alone."
Iliada,6,knife_brand,non_english,Greek knife brand known for premium kitchen knives and cutlery.
O-Med,6,knife_brand,english,Knife brand known for stainless-clad carbon steel kitchen knives; Japanese maker with English-language branding/distribution presence.
Terra Creta,6,other,unclear,Greek olive oil producer/brand; not a knife-specific entity
Frantoio Grove,6,other,unclear,Likely an olive oil brand or grove name; not a knife-specific entity.
extra virgin olive oil,5,product_term,english,"A culinary ingredient term referring to olive oil made from the first pressing, used in cooking and food discussions."
refined olive oil,5,product_term,english,"A culinary ingredient term referring to olive oil that has been refined, not a knife-specific brand or entity."
light olive oil,5,product_term,english,"A type of olive oil with a lighter flavor/color, used as a cooking ingredient rather than a knife-related brand or entity."
Gaea,5,other,unclear,"Ambiguous name; could refer to a brand, person, or other entity, but not enough context to identify it as a knife-related entity."
Zingerman's,5,retailer,english,US specialty food retailer and deli brand; mentioned here likely as a source/store in a knife discussion context.
Kirkland Signature,4,other,english,"Costco's private-label brand; not a knife maker, but may appear on kitchen products including knives."
Olio Roi,4,other,non_english,"Italian olive oil producer/brand; not a knife brand, but a food product company sometimes mentioned in kitchen contexts."
Frankies 457,4,retailer,english,New York City restaurant and food brand known for its Italian-American deli/market products; mentioned here as a named entity in a knife-discussion context.
Kirkland Signature Organic EVOO,4,other,english,Kirkland Signature Organic EVOO is a private-label organic extra virgin olive oil product sold under Costco's Kirkland Signature brand.
Nudo Adopt,4,knife_brand,unclear,"Nudo Adopt appears to be a knife brand or product line name, but I’m not certain of the exact entity from the mention alone."
Olive Oil Times,4,publication,english,"Publication focused on olive oil news, analysis, and industry coverage."
Olio Santo,3,other,unclear,"Name of a product or brand mentioned in a knife-discussion context; likely not a knife maker, retailer, or publication."
