brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
Estée Lauder,A,1,claude-opus-4-5,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:22.230684+00:00,2.710
Estée Lauder,A,1,claude-sonnet-4-5,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:22.231851+00:00,2.712
Estée Lauder,A,1,gemini-2.5-flash,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.027191+00:00,3.505
Estée Lauder,A,1,gemini-2.5-flash-lite,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:21.481626+00:00,1.961
Estée Lauder,A,1,gpt-4o,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:22.566460+00:00,3.047
Estée Lauder,A,1,gpt-4o-mini,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:22.603709+00:00,3.084
Lancôme,A,2,claude-opus-4-5,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:22.230728+00:00,0.749
Lancôme,A,2,claude-sonnet-4-5,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.134001+00:00,0.904
Lancôme,A,2,gemini-2.5-flash,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.744238+00:00,1.176
Lancôme,A,2,gemini-2.5-flash-lite,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:23.028509+00:00,0.425
Lancôme,A,2,gpt-4o,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.748086+00:00,1.517
Lancôme,A,2,gpt-4o-mini,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.998073+00:00,1.766
La Mer,A,3,claude-opus-4-5,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:24.415857+00:00,1.389
La Mer,A,3,claude-sonnet-4-5,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:25.072260+00:00,2.044
La Mer,A,3,gemini-2.5-flash,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:25.364381+00:00,1.616
La Mer,A,3,gemini-2.5-flash-lite,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:24.193513+00:00,0.444
La Mer,A,3,gpt-4o,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:23.746520+00:00,0.613
La Mer,A,3,gpt-4o-mini,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:24.519870+00:00,0.776
Sisley,A,4,claude-opus-4-5,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:25.460848+00:00,1.461
Sisley,A,4,claude-sonnet-4-5,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:25.100737+00:00,0.909
Sisley,A,4,gemini-2.5-flash,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:26.994568+00:00,1.920
Sisley,A,4,gemini-2.5-flash-lite,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-05-22T00:47:25.464198+00:00,0.363
Sisley,A,4,gpt-4o,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-05-22T00:47:25.131804+00:00,0.717
