category,brand,draft_year,verified_year,delta_years,flagged,note
skincare,CeraVe,2005,2005,0,,Launched 2005 by Coria Laboratories; brand continued through Valeant (2008) and L'Oréal (2017) acquisitions.
skincare,Cetaphil,1947,1947,0,,"Original Cetaphil Cleansing Lotion launched 1947 by Texas pharmacist; brand name unchanged through Texas Pharmacal, Owen..."
skincare,Neutrogena,1930,1962,32,YES,Natone Cosmetic Company renamed to Neutrogena Corporation in 1962. The Neutrogena soap product preceded the company rena...
skincare,La Roche-Posay,1975,1975,0,,Launched 1975 as a dermatology-focused thermal-spa brand; acquired by L'Oréal 1989; brand name unchanged.
skincare,Vanicream,1976,1980,4,,Pharmaceutical Specialties Inc. founded 1974/1975; Vanicream product (brand-as-marketed) introduced 1980. Brand-as-marke...
skincare,Skinceuticals,1997,1997,0,,Founded 1997 by Dr. Sheldon Pinnell; acquired by L'Oréal 2005; brand name unchanged.
skincare,Eucerin,1900,1900,0,,Launched 1900 by Beiersdorf (Germany); brand continuous since.
skincare,Paula's Choice,1995,1995,0,,Founded 1995 by Paula Begoun as a direct-to-consumer skincare brand.
skincare,Drunk Elephant,2013,2012,-1,,Founded 2012 by Tiffany Masterson; acquired by Shiseido 2019; brand name unchanged.
skincare,Tatcha,2009,2009,0,,Founded 2009 by Vicky Tsai; acquired by Unilever 2019; brand name unchanged.
skincare,The Ordinary,2016,2016,0,,Launched 2016 by Deciem (Brandon Truaxe) as a value-focused active-ingredient skincare brand.
skincare,EltaMD,1989,2007,18,YES,Swiss-American Products produced an 'Elta' product line from 1988; EltaMD brand-as-marketed launched 2007 as physician-d...
skincare,Bioderma,1977,1977,0,,"Founded 1977 in Lyon, France; flagship H2O Micellar Water launched 1995; brand name continuous."
skincare,Avène,1990,1990,0,,Eau Thermale Avène launched 1990 by Pierre Fabre Dermatologie; thermal-spring source dates to medieval era but commercia...
skincare,Aveeno,1945,1945,0,,Founded 1945 by Sidney Musher; acquired by Johnson & Johnson 1999; brand name unchanged.
skincare,First Aid Beauty,2009,2009,0,,Founded 2009 by Lilli Gordon; acquired by Procter & Gamble 2018; brand name unchanged.
skincare,Augustinus Bader,2018,2018,0,,Launched 2018 as a commercial skincare brand by Prof. Augustinus Bader and Charles Rosier.
skincare,Youth to the People,2015,2015,0,,Founded 2015 by Joe Cloyes and Greg Gonzalez; acquired by L'Oréal 2021; brand name unchanged.
skincare,La Mer,1965,1965,0,,Crème de la Mer formulated 1965 by Dr. Max Huber; commercial brand 'La Mer' launched ~1965; acquired by Estée Lauder Com...
skincare,Estée Lauder,1946,1946,0,,Founded 1946 by Estée and Joseph Lauder.
skincare,Lancôme,1935,1935,0,,Founded 1935 by Armand Petitjean; acquired by L'Oréal 1964; brand name unchanged.
skincare,Clinique,1968,1968,0,,Launched 1968 by Estée Lauder Companies as a dermatologist-tested-line subsidiary brand.
skincare,Kiehl's,1851,1851,0,,Founded 1851 as an apothecary in New York City; acquired by L'Oréal 2000; brand name unchanged.
skincare,Sunday Riley,2009,2009,0,,Founded 2009 by Sunday Riley as an indie clean-clinical skincare brand.
skincare,SK-II,1980,1980,0,,Launched 1980 in Japan by Max Factor Japan; acquired by P&G 1991; brand name unchanged.
skincare,Olay,1952,1952,0,,Originally launched as 'Oil of Olay' in 1952 by Graham Wulff in South Africa; rebranded 'Olay' globally by P&G in 1999. ...
skincare,Origins,1990,1990,0,,Launched 1990 by Estée Lauder Companies as a botanically-inspired skincare brand.
skincare,Dermalogica,1986,1986,0,,Founded 1986 by Jane Wurwand; acquired by Unilever 2015; brand name unchanged.
skincare,Murad,1989,1989,0,,Founded 1989 by Dr. Howard Murad; acquired by Unilever 2015; brand name unchanged.
skincare,Glossier,2014,2014,0,,Founded 2014 by Emily Weiss as a digital-native millennial skincare/beauty brand.
skincare,Beauty of Joseon,2010,2010,0,,Launched 2010 by Naturepacific Corporation (South Korea) as a heritage-Korean K-beauty brand.
finance,Mint,2006,2006,0,,Founded 2006 by Aaron Patzer; acquired by Intuit 2009; brand operated continuously until announced shutdown October 2023...
finance,Quicken,1983,1983,0,,Launched 1983 by Intuit as a personal-finance software product; spun off from Intuit 2016 to private equity (H.I.G. Capi...
finance,Quicken Simplifi,2021,2021,0,,Launched 2021 by Quicken Inc. as a separate mobile-first personal-finance app brand (distinct from Quicken desktop softw...
finance,YNAB,2004,2004,0,,Founded 2004 by Jesse Mecham as 'You Need a Budget'; brand name unchanged.
finance,Empower,2009,2023,14,YES,Personal Capital founded 2009; acquired by Empower Retirement 2020; consumer-facing Personal Capital app rebranded to Em...
finance,NerdWallet,2009,2009,0,,Founded 2009 by Tim Chen and Jacob Gibson; brand name unchanged through 2021 IPO.
finance,Rocket Money,2015,2022,7,YES,Truebill founded 2015; acquired by Rocket Companies 2021; rebranded to Rocket Money in 2022. Brand-as-marketed conventio...
finance,PocketGuard,2014,2014,0,,Launched 2014 per company website; legal incorporation 2015. Brand-as-marketed convention: 2014 (consumer launch year).
finance,Goodbudget,2009,2013,4,,EEBA (Easy Envelope Budget Aid) launched November 2009 by Dayspring Technologies; rebranded to Goodbudget September 2013...
finance,EveryDollar,2015,2015,0,,Launched 2015 by Ramsey Solutions (Dave Ramsey) as a budgeting app companion to Financial Peace University.
finance,Monarch Money,2018,2018,0,,"Founded 2018 by Val Agostino, Ozzie Osman, and Jon Sutherland as a Mint successor / post-Mint-shutdown personal-finance ..."
finance,Copilot,2020,2020,0,,Founded 2020 by Andres Ugarte as 'Copilot' (later 'Copilot Money'); iOS-first AI-assisted personal-finance app.
finance,Lunch Money,2018,2019,1,,Founded 2019 by Jen Yip as a manual-categorisation-focused personal-finance app.
finance,Origin,2019,2020,1,,Founded 2020 by Matt Watson and Ben Lerner as 'Origin Financial' (employer-benefits + consumer wealth-management app).
finance,Cleo,2016,2016,0,,Founded 2016 by Barney Hussey-Yeo as Cleo AI Ltd (London); brand name unchanged.
finance,Tiller,2017,2017,0,,Founded 2017 by Peter Polson as 'Tiller HQ' (later 'Tiller Money' / 'Tiller'); spreadsheet-based personal-finance platfo...
