rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,California Olive Ranch,incumbent,68.4,74.6,45.3,11.6,80.9,56.2
2,Brightland,challenger,38.9,79.4,11.9,3.2,44.7,33.3
3,Kosterina,challenger,33.7,74.9,10.7,5.3,27.7,39.6
4,Frantoio Muraglia,mid-tier,31.6,35.2,10.9,2.1,17.0,45.8
5,Castillo de Canena,mid-tier,29.5,20.2,8.9,0.0,12.8,45.8
6,Graza,challenger,29.5,81.3,7.3,2.1,25.5,33.3
7,Olio Verde,challenger,26.3,84.5,7.6,2.1,23.4,29.2
8,Frescobaldi Laudemio,challenger,21.1,0.0,12.1,3.2,38.3,4.2
9,Lucini,mid-tier,20.0,79.1,5.3,2.1,17.0,22.9
10,Núñez de Prado,challenger,7.4,0.0,2.3,0.0,14.9,0.0
11,Filippo Berio,incumbent,6.3,54.2,1.1,0.0,4.3,8.3
12,Bertolli,incumbent,4.2,30.4,0.9,0.0,2.1,6.2
13,Partanna,mid-tier,4.2,0.0,0.8,2.1,0.0,8.3
14,Colavita,incumbent,2.1,0.0,0.4,0.0,0.0,4.2
15,Goya,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
16,Fly By Jing,challenger,0.0,0.0,0.0,0.0,0.0,0.0
