phase,category,brand_id,display_name,founded_year,founded_source,verification_status,notes
v0.16,kitchen_knives,shun,Shun,2002,"Shun brand-mark introduction (Kai USA Ltd., Kai Group subsidiary; parent Kai Industries 1908 — not used per brand-mark convention)",verified,"Brand-mark convention applied: 2002 brand introduction used; Kai Group 1908 parent founding not used. v1.2 §4 topic-ID disambiguation required at acquisition."
v0.16,kitchen_knives,global,Global,1985,Yoshikin corporate history,verified,"Yoshikin founded specifically to launch Global; company and brand are coincident in time."
v0.16,kitchen_knives,miyabi,Miyabi,2004,Zwilling J.A. Henckels brand introduction,verified,"Brand-mark introduction date used (Zwilling subsidiary; manufactured Seki, Japan). Parent Zwilling founded 1731 — not used per brand-mark convention."
v0.16,kitchen_knives,mac,Mac,1964,Mac Knife corporate history,verified,"Two-letter brand name; v1.2 §4 topic-ID disambiguation required at acquisition."
v0.16,kitchen_knives,tojiro,Tojiro,1953,Tojiro corporate history (Niigata),verified,
v0.16,kitchen_knives,yoshihiro,Yoshihiro,1996,Yoshihiro Cutlery modern enterprise registration,verified,"Brand-mark convention applied: 1996 modern enterprise used; Sakai blacksmith tradition (centuries) not used."
v0.16,kitchen_knives,wusthof,Wüsthof,1814,Wüsthof corporate history (Solingen),verified,"Becomes pivot if Victorinox primary-pivot fails v1.2 §4 at lock; exits German cell in pivot role."
v0.16,kitchen_knives,zwilling,Zwilling J.A. Henckels,1731,Zwilling J.A. Henckels corporate history (Solingen),verified,"Marketed in some markets as 'Zwilling' only or 'Henckels' only — v1.2 §4 must aggregate mention variants."
v0.16,kitchen_knives,messermeister,Messermeister,1981,Messermeister corporate history,verified,"German-tradition lineage; US headquarters. Cell assignment by manufacturing-tradition and stylistic lineage per v1.2 §4."
v0.16,kitchen_knives,gude,Güde,1910,Franz Güde corporate history (Solingen),verified,"Umlaut handling — v1.2 §4 must aggregate 'Güde' and 'Gude' mention variants."
v0.16,kitchen_knives,friedr_dick,Friedr. Dick,1778,Friedr. Dick corporate history (Esslingen),verified,"Mention variants: 'Friedr. Dick', 'F. Dick', 'Dick'. Bare 'Dick' high-noise — kitchen-knife context required."
v0.16,kitchen_knives,sabatier,Sabatier,1834,Thiers cutlery tradition (approximate to Sabatier mark emergence),verify_needed,"Generic French mark used by multiple Thiers producers (Sabatier Aîné, K Sabatier, Lion Sabatier, etc.). Date is approximate to mark emergence, not single-producer founding. v1.2 §4 5-stage resolution required at acquisition. Highest topic-ID risk in panel."
v0.16,kitchen_knives,opinel,Opinel,1890,Opinel corporate history (Savoie),verified,"Primarily folding/utility tradition; kitchen-knife lines (No. 102, No. 112, Parallèle, Intempora) included. v1.2 §4 must filter to kitchen-cutlery context."
v0.16,kitchen_knives,laguiole,Laguiole,1829,Laguiole regional tradition (approximate to original Calmels design),verify_needed,"Generic regional mark; multiple producers (Forge de Laguiole, Laguiole en Aubrac, Claude Dozorme, etc.). Date is approximate. High topic-ID risk; primarily folding-tradition with secondary kitchen lines."
v0.16,kitchen_knives,nogent,Nogent (Goyon-Chazeau),1834,Goyon-Chazeau corporate history (Thiers),verified,"May surface confusion with Nogent-sur-Marne/Nogent-le-Rotrou geographic mentions; v1.2 §4 resolution required."
v0.16,kitchen_knives,cutco,Cutco,1949,Cutco Corporation corporate history (Olean NY),verified,
v0.16,kitchen_knives,dalstrong,Dalstrong,2012,Dalstrong corporate history (Toronto),verified,
v0.16,kitchen_knives,misen,Misen,2015,Misen Kickstarter launch + corporate history,verified,
v0.16,kitchen_knives,new_west,New West KnifeWorks,1997,New West KnifeWorks corporate history (Jackson WY),verified,
v0.16,kitchen_knives,made_in,Made In,2017,Made In Cookware brand-mark introduction (Austin TX); cutlery line launched 2019 as product extension,verified,"Brand-mark convention applied: 2017 brand-mark date used; cutlery-line launch (2019) does not reset brand age. Common phrase 'made in' is high-noise; v1.2 §4 must require explicit brand-mark attribution."
v0.16,kitchen_knives,cck,CCK Chan Chi Kee,1947,Chan Chi Kee Cutlery corporate history (Hong Kong),verified,"Mention variants: 'CCK', 'Chan Chi Kee', '陳枝記'. Bare 'CCK' high-noise — kitchen-knife context required."
v0.16,kitchen_knives,shibazi,Shibazi (Shi Ba Zi Zuo),1983,Yangjiang Shibazi modern enterprise founding,verified,"Brand-mark convention applied: 1983 modern enterprise used; '十八子' traditional craft lineage older not used. Mention variants: 'Shibazi', 'Shi Ba Zi Zuo', '十八子作' — v1.2 §4 must aggregate."
v0.16,kitchen_knives,sunlong,Sunlong,1985,Limited English-language corporate documentation; estimated,verify_needed,"Founding date estimated from available sources. Final lock requires Pablo confirmation. If unverifiable, brand replaced by first Chinese-cell alternate (Hu Si Chao) at lock."
v0.16,kitchen_knives,zhen,ZHEN,2005,ZHEN Premium corporate history (Taiwan-tradition; US distribution),verify_needed,"Founding date approximate. Three-letter brand name in all-caps; v1.2 §4 must disambiguate from acronyms and Mandarin 真 (zhēn)."
v0.16,kitchen_knives,masamoto,Masamoto,1845,Masamoto Sohonten corporate history (Tokyo),verified,"ALTERNATE — Japanese cell priority 1"
v0.16,kitchen_knives,misono,Misono,1935,Misono Cutlery corporate history (Seki),verified,"ALTERNATE — Japanese cell priority 2"
v0.16,kitchen_knives,tadafusa,Tadafusa,1948,Tadafusa corporate history (Sanjō Niigata),verified,"ALTERNATE — Japanese cell priority 3"
v0.16,kitchen_knives,robert_herder,Robert Herder,1872,Robert Herder corporate history (Solingen),verified,"ALTERNATE — German cell priority 1"
v0.16,kitchen_knives,schmidt_brothers,Schmidt Brothers,2009,Schmidt Brothers Cutlery corporate history,verified,"ALTERNATE — German cell priority 2. German-tradition lineage; US founding."
v0.16,kitchen_knives,au_nain,Au Nain,1812,Au Nain corporate history (Thiers),verified,"ALTERNATE — French cell priority 1"
v0.16,kitchen_knives,goyon_chazeau_le_thiers,Goyon-Chazeau Le Thiers,1834,Goyon-Chazeau corporate history,verified,"ALTERNATE — French cell priority 2. Same parent as Nogent (panel); cell-level substitute if Sabatier or Laguiole fails §4. If activated alongside Nogent in panel, requires de-duplication review."
v0.16,kitchen_knives,bob_kramer,Bob Kramer,2002,Kramer Knives founding (Zwilling collaboration from 2010),verified,"ALTERNATE — American specialty cell priority 1. High-end."
v0.16,kitchen_knives,hammer_stahl,Hammer Stahl,2008,Hammer Stahl corporate history,verified,"ALTERNATE — American specialty cell priority 2"
v0.16,kitchen_knives,hu_si_chao,Hu Si Chao,,Pending,pending,"ALTERNATE — Chinese cell priority 1. Founding date pending. If activated, requires source attribution before lock per v1.2 §4 admission rule."
v0.16,kitchen_knives,dengjia,Dengjia,,Pending,pending,"ALTERNATE — Chinese cell priority 2. Founding date pending. If activated, requires source attribution before lock."
v0.16,kitchen_knives,hengtai,Hengtai,,Pending,pending,"ALTERNATE — Chinese cell priority 3. Founding date pending. If activated, requires source attribution before lock."
