brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
Mercedes-Benz,A,1,claude-opus-4-5,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:50.663083+00:00,70.756
Mercedes-Benz,A,1,claude-sonnet-4-5,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:44.234779+00:00,64.327
Mercedes-Benz,A,1,gemini-2.5-flash,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:44.819635+00:00,64.912
Mercedes-Benz,A,1,gemini-2.5-flash-lite,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:43.335004+00:00,63.425
Mercedes-Benz,A,1,gpt-4o,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:43.612984+00:00,63.705
Mercedes-Benz,A,1,gpt-4o-mini,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:43.611274+00:00,63.703
Jaguar,A,2,claude-opus-4-5,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:44.921805+00:00,1.589
Jaguar,A,2,claude-sonnet-4-5,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:45.447146+00:00,1.835
Jaguar,A,2,gemini-2.5-flash,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:46.051839+00:00,1.818
Jaguar,A,2,gemini-2.5-flash-lite,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:45.444333+00:00,0.621
Jaguar,A,2,gpt-4o,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:44.232154+00:00,0.620
Jaguar,A,2,gpt-4o-mini,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:44.820220+00:00,0.588
Cadillac,A,3,claude-opus-4-5,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:46.677920+00:00,1.857
Cadillac,A,3,claude-sonnet-4-5,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:50.661606+00:00,5.740
Cadillac,A,3,gemini-2.5-flash,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:47.492726+00:00,1.441
Cadillac,A,3,gemini-2.5-flash-lite,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:46.665147+00:00,0.612
Cadillac,A,3,gpt-4o,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:46.052667+00:00,0.612
Cadillac,A,3,gpt-4o-mini,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:46.079565+00:00,0.633
Rolls-Royce,A,4,claude-opus-4-5,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:52.199334+00:00,6.120
Rolls-Royce,A,4,claude-sonnet-4-5,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:49.123542+00:00,2.458
Rolls-Royce,A,4,gemini-2.5-flash,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:49.876866+00:00,2.382
Rolls-Royce,A,4,gemini-2.5-flash-lite,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:49.173868+00:00,0.357
Rolls-Royce,A,4,gpt-4o,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:47.495865+00:00,0.818
Rolls-Royce,A,4,gpt-4o-mini,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:48.817777+00:00,1.325
Bentley,A,5,claude-opus-4-5,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:59.474976+00:00,10.352
Bentley,A,5,claude-sonnet-4-5,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:50.862955+00:00,1.690
Bentley,A,5,gemini-2.5-flash,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:52.496277+00:00,1.832
Bentley,A,5,gemini-2.5-flash-lite,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:51.091348+00:00,0.427
Bentley,A,5,gpt-4o,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:50.663858+00:00,0.787
Bentley,A,5,gpt-4o-mini,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:51.232513+00:00,0.571
Porsche,A,6,claude-opus-4-5,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:52.309077+00:00,1.446
Porsche,A,6,claude-sonnet-4-5,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:52.198184+00:00,1.106
Porsche,A,6,gemini-2.5-flash,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:54.270617+00:00,2.073
Porsche,A,6,gemini-2.5-flash-lite,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:52.556742+00:00,0.357
Porsche,A,6,gpt-4o,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:51.655227+00:00,0.423
Porsche,A,6,gpt-4o-mini,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:52.498920+00:00,0.843
BMW,A,7,claude-opus-4-5,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:59.236472+00:00,6.927
BMW,A,7,claude-sonnet-4-5,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:01.038534+00:00,8.543
BMW,A,7,gemini-2.5-flash,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:54.881035+00:00,1.657
BMW,A,7,gemini-2.5-flash-lite,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:54.705910+00:00,0.435
BMW,A,7,gpt-4o,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:55.575114+00:00,3.077
BMW,A,7,gpt-4o-mini,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:53.224873+00:00,0.668
Tesla,B,1,claude-opus-4-5,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:56.135870+00:00,1.430
Tesla,B,1,claude-sonnet-4-5,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:02.644756+00:00,7.763
Tesla,B,1,gemini-2.5-flash,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:58.953012+00:00,2.818
Tesla,B,1,gemini-2.5-flash-lite,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:15:57.155751+00:00,0.350
Tesla,B,1,gpt-4o,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:56.133332+00:00,0.558
Tesla,B,1,gpt-4o-mini,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:15:56.805157+00:00,0.672
Rivian,B,2,claude-opus-4-5,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:03.087433+00:00,5.932
Rivian,B,2,claude-sonnet-4-5,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:00.798436+00:00,1.845
Rivian,B,2,gemini-2.5-flash,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:02.772275+00:00,2.590
Rivian,B,2,gemini-2.5-flash-lite,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:00.797186+00:00,0.614
Rivian,B,2,gpt-4o,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:00.182475+00:00,0.947
Rivian,B,2,gpt-4o-mini,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:00.181857+00:00,0.707
Lucid,B,3,claude-opus-4-5,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:02.646676+00:00,1.850
Lucid,B,3,claude-sonnet-4-5,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:09.097418+00:00,8.299
Lucid,B,3,gemini-2.5-flash,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:04.905537+00:00,2.261
Lucid,B,3,gemini-2.5-flash-lite,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:02.989836+00:00,0.344
Lucid,B,3,gpt-4o,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:02.024159+00:00,0.986
Lucid,B,3,gpt-4o-mini,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:02.645931+00:00,0.622
Polestar,B,4,claude-opus-4-5,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:04.796912+00:00,2.150
Polestar,B,4,claude-sonnet-4-5,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:03.870474+00:00,1.099
Polestar,B,4,gemini-2.5-flash,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:06.147533+00:00,2.278
Polestar,B,4,gemini-2.5-flash-lite,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:04.795116+00:00,0.924
Polestar,B,4,gpt-4o,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:03.869935+00:00,0.880
Polestar,B,4,gpt-4o-mini,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:03.868902+00:00,0.781
Fisker,B,5,claude-opus-4-5,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:13.069398+00:00,9.198
Fisker,B,5,claude-sonnet-4-5,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,No.,no,2026-06-10T14:16:13.061578+00:00,8.268
Fisker,B,5,gemini-2.5-flash,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:09.703847+00:00,4.297
Fisker,B,5,gemini-2.5-flash-lite,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:06.017705+00:00,0.570
Fisker,B,5,gpt-4o,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:05.407072+00:00,0.610
Fisker,B,5,gpt-4o-mini,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:05.448581+00:00,0.543
Toyota,C,1,claude-opus-4-5,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:10.936882+00:00,4.919
Toyota,C,1,claude-sonnet-4-5,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:07.831553+00:00,1.683
Toyota,C,1,gemini-2.5-flash,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:10.935603+00:00,1.838
Toyota,C,1,gemini-2.5-flash-lite,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:09.706549+00:00,0.608
Toyota,C,1,gpt-4o,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:08.478143+00:00,0.646
Toyota,C,1,gpt-4o-mini,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:09.098460+00:00,0.621
Honda,C,2,claude-opus-4-5,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:10.937580+00:00,1.234
Honda,C,2,claude-sonnet-4-5,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:16.401490+00:00,6.696
Honda,C,2,gemini-2.5-flash,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-06-10T14:16:12.912242+00:00,1.974
Honda,C,2,gemini-2.5-flash-lite,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-06-10T14:16:12.433078+00:00,0.576
