item_num,slot,cep,run_idx,ai_valence,ai_entity,quote,human_verdict,human_correct_label,notes
1,openai_flagship,FUNCTIONAL_WHY,1,live_recommendation,legacy_brand,"Bed Bath & Beyond / Wayfair — Good for bedding and kitchen items, especially online.",,,
2,openai_flagship,FUNCTIONAL_WHY,3,live_recommendation,legacy_brand,"- **Bed Bath & Beyond/Wayfair** — good for online home basics, though prices can vary",,,
3,anthropic_opus,CONTEXTUAL_WHEN,4,live_recommendation,legacy_brand,Bed Bath & Beyond / Macy's – Wide range with frequent sales and registry perks.,,,
4,anthropic_sonnet,CONSTRAINT_WITH,1,live_recommendation,legacy_brand,Target and Bed Bath & Beyond have predictable sale cycles,,,
5,anthropic_sonnet,CONSTRAINT_WITH,5,live_recommendation,legacy_brand,Target and Bed Bath & Beyond discount heavily,,,
6,anthropic_sonnet,CONTEXTUAL_WHEN,2,status_correction,legacy_brand,"Bed Bath & Beyond / Zola - Note: BB&B went through bankruptcy, so Zola has absorbed much of that market - Zola is now quite popular and lets you combine multiple stores",,,
7,openai_mini,CONTEXTUAL_WHEN,1,status_correction,legacy_brand,"Since the classic BBB registry landscape has changed, many couples now use: - Target - Amazon - Macy’s - Nordstrom",,,
8,anthropic_opus,IDENTITY_HOW_FEELING,2,status_correction,legacy_brand,"Bed Bath & Beyond replacement: Macy's, Kohl's, Target — absorbed a lot of that traffic after BBB closed.",,,
9,anthropic_opus,IDENTITY_HOW_FEELING,4,status_correction,legacy_brand,"Bed Bath & Beyond is gone, so people have shifted to Target, Amazon, Crate & Barrel, and Williams Sonoma (higher end) for registries.",,,
10,anthropic_opus,IDENTITY_HOW_FEELING,6,status_correction,legacy_brand,"Bed Bath & Beyond replacements — Now mostly Target, Amazon, or Macy's home section.",,,
11,openai_flagship,IDENTITY_HOW_FEELING,2,status_correction,legacy_brand,"### **Bed Bath & Beyond alternatives** Since Bed Bath & Beyond changed significantly, many shoppers shifted to: - Target - Amazon - Walmart - Macy’s - Kohl’s - HomeGoods - Wayfair",,,
12,xai_grok,IDENTITY_HOW_FEELING,4,status_correction,both,"Bed Bath & Beyond (now part of Overstock): Linens, cookware, and small appliances. Still #2 on registries despite bankruptcy; coupons make it addictive.",,,
13,openai_mini,FUNCTIONAL_WHY,3,ambiguous,unclear,Best quality for home textiles: Costco or Bed Bath & Beyond-style alternatives if available,,,
14,anthropic_opus,CONSTRAINT_WITH,6,live_with_caveat,legacy_brand,"Sign up for store emails — Target, Bed Bath & Beyond (now online), and Kohl's send frequent coupons",,,
15,openai_mini,FUNCTIONAL_WHY,7,live_with_caveat,legacy_brand,"Bed Bath & Beyond (if available near you) — lots of household essentials, though pricing can vary",,,
16,anthropic_sonnet,CONTEXTUAL_WHEN,3,live_with_caveat,legacy_brand,Bed Bath & Beyond - though check their current status as they've had business changes,,,
17,xai_grok,CONTEXTUAL_WHEN,7,live_with_caveat,both,"Bed Bath & Beyond (via BuyBuyBaby/Overstock integration) - **Why it's great**: Huge variety—Ninja cookware, Dyson vacuums (kitchen adjacents), hotel-quality bedding. - **Perks**: Price match, 1-year returns, VIP perks. Still active post-rebrand.",,,
18,anthropic_sonnet,FUNCTIONAL_WHY,8,live_with_caveat,legacy_brand,- **Bed Bath & Beyond** (now mostly online) - Specialty household focus,,,
19,google_flash,FUNCTIONAL_WHY,5,live_with_caveat,both,"Wayfair / Overstock: Similar to Amazon, these online retailers offer a massive selection of home goods, often with good sales. (Note: Bed Bath & Beyond is now primarily an online retailer through Overstock).",,,
20,anthropic_opus,IDENTITY_HOW_FEELING,7,historical_reference,legacy_brand,"For kitchen, bedding, and household basics: - Bed Bath & Beyond replacements — many people now use Amazon, Target, or HomeGoods for what they used to buy there.",,,
21,openai_flagship,IDENTITY_HOW_FEELING,4,historical_reference,legacy_brand,"Bed Bath & Beyond — historically common, though its physical-store presence changed significantly",,,
22,anthropic_opus,IDENTITY_HOW_FEELING,8,historical_reference,legacy_brand,"Bed Bath & Beyond replacements — now mostly Target, Amazon, or Macy's for registries",,,
23,anthropic_opus,IDENTITY_HOW_FEELING,1,historical_reference,legacy_brand,"Bed Bath & Beyond used to dominate this space; since its closure, Target, Amazon, and Williams-Sonoma absorbed most of it.",,,
24,openai_mini,IDENTITY_HOW_FEELING,6,historical_reference,legacy_brand,"Bed Bath & Beyond used to be huge for this, but now people often replace it with Target/IKEA/Amazon or local equivalents.",,,
25,openai_mini,IDENTITY_HOW_FEELING,1,historical_reference,legacy_brand,"Bed Bath & Beyond used to be a classic for this; now people often replace it with Target, Amazon, Costco, or local home stores",,,
