brand,category,tradition,founding_year,source_url,notes,premium_tier
"TWG Tea",premium_tea,chinese,2008,https://en.wikipedia.org/wiki/TWG_Tea,"Singapore-based; legal entity 2008. Some marketing references '1837 Singapore tea trade' — brand-as-marketed rule may apply if Pablo prefers heritage anchor.",luxury
"Ten Ren's Tea",premium_tea,chinese,1953,https://en.wikipedia.org/wiki/Ten_Ren%27s_Tea,Taiwan; family heritage longer but company 1953.,specialty
"TenFu's Tea",premium_tea,chinese,1993,https://en.wikipedia.org/wiki/Tenfu_Tea,Mainland China chain; founded by Lee Rie-Ho.,specialty
"Jing Tea",premium_tea,chinese,2004,https://www.jingtea.com/about,UK-incorporated; Chinese-tea specialism since founding.,specialty
"Ippodo Tea",premium_tea,japanese,1717,https://global.ippodo-tea.co.jp/pages/about-ippodo,Kyoto since 1717; continuous family business.,luxury
"Marukyu Koyamaen",premium_tea,japanese,1704,https://www.marukyu-koyamaen.co.jp/english/index.html,"Family tea-cultivation heritage from 1704; modern company organized later (often cited 1875). Brand-as-marketed: 1704 is the anchor on company's English about-page.",luxury
"Lupicia",premium_tea,japanese,1994,https://www.lupicia.com/shop/pages/aboutus.aspx,"Japan; originally Lepicier, renamed Lupicia 2001.",specialty
"Ito En",premium_tea,japanese,1966,https://www.itoen.com/our-story,"Founded as Frontier Tea Corporation 1966; renamed Ito En 1969.",mainstream-premium
"Twinings",premium_tea,british,1706,https://en.wikipedia.org/wiki/Twinings,Thomas Twining opened first tea shop on Strand 1706.,mainstream-premium
"Fortnum & Mason",premium_tea,british,1707,https://en.wikipedia.org/wiki/Fortnum_%26_Mason,Founded by William Fortnum and Hugh Mason 1707.,luxury
"Whittard of Chelsea",premium_tea,british,1886,https://en.wikipedia.org/wiki/Whittard_of_Chelsea,Founded by Walter Whittard on Fleet Street; moved to Chelsea later.,mainstream-premium
"Tea Pigs",premium_tea,british,2006,https://www.teapigs.co.uk/pages/our-story,UK; founded by Nick Kilby and Louise Cheadle.,specialty
"Postcard Teas",premium_tea,british,2002,https://www.postcardteas.com/about,Boutique London specialty; founded by Tim d'Offay.,specialty
"Makaibari",premium_tea,indian,1859,https://en.wikipedia.org/wiki/Makaibari_Tea_Estate,Darjeeling single estate; Banerjee family ownership.,luxury
"Glenburn Tea Estate",premium_tea,indian,1859,https://en.wikipedia.org/wiki/Glenburn_Tea_Estate,Darjeeling single estate; Prakash family since 2002.,luxury
"Vahdam Teas",premium_tea,indian,2015,https://www.vahdam.com/pages/our-story,Direct-to-consumer Indian premium founded by Bala Sarda.,specialty
"Tea Box",premium_tea,indian,2012,https://www.teabox.com/about,"Online specialty tea retailer; founded by Kaushal Dugar. Note: rescale-stage diagnostic suggests bare-canonical 'Tea Box' query captures generic phrase volume far above brand signal; flag for limitations.",specialty
"Harney & Sons",premium_tea,us_specialty,1983,https://en.wikipedia.org/wiki/Harney_%26_Sons,Connecticut/NY; founded by John Harney.,specialty
"Rishi Tea",premium_tea,us_specialty,1997,https://www.rishi-tea.com/pages/about-rishi-tea,Milwaukee; founded by Joshua Kaiser.,specialty
"Numi Organic Tea",premium_tea,us_specialty,1999,https://en.wikipedia.org/wiki/Numi_Organic_Tea,Oakland; founded by Ahmed and Reem Rahim.,specialty
"Smith Teamaker",premium_tea,us_specialty,2009,https://www.smithtea.com/pages/our-story,"Portland OR; founded by Steven Smith (also co-founder of Stash and Tazo).",specialty
"Republic of Tea",premium_tea,us_specialty,1992,https://en.wikipedia.org/wiki/The_Republic_of_Tea,Founded by Bill Rosenzweig and Mel Ziegler (Banana Republic co-founder).,specialty
"Wang De Chuan",premium_tea,chinese,1862,https://www.dechuantea.com/pages/about-us,Taipei heritage claim; founded by Wang clan during late Qing dynasty.,specialty
"In Pursuit of Tea",premium_tea,chinese,2002,https://inpursuitoftea.com/pages/about,US-based Chinese-tea specialty importer; founded by Sebastian Beckwith.,specialty
"Yunnan Sourcing",premium_tea,chinese,2004,https://yunnansourcing.com/pages/about-yunnan-sourcing,US-based Chinese tea importer; founded by Scott Wilson.,specialty
