prompt_id,cep,model_slot,provider,model_version,run_idx,extractor_canonical,valence,entity_reference,source_quote
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,1,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mostly online) - broad selection
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,2,Bed Bath & Beyond,live_with_caveat,legacy_brand,- **Bed Bath & Beyond** (now mostly online) - Wide selection
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,3,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mostly online) - specializes in exactly this category
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,4,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mostly online) - Specializes in exactly what you're describing
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,5,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mainly online) - specialized selection
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,6,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mainly online/Overstock)
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,7,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now mostly online) - traditional go-to
p1_functional,FUNCTIONAL_WHY,anthropic_sonnet,anthropic,claude-sonnet-4-6,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,- **Bed Bath & Beyond** (now mostly online) - Specialty household focus
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,1,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) / Kohl's – Frequent sales
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,2,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) / Kohl's - Frequent coupons and sales
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,3,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) – Reliable bedding selection
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,4,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) / Kohl's – Frequent sales and coupons
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,5,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) – Better bedding/towels
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,6,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now) / Overstock
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,7,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (online only now)
p1_functional,FUNCTIONAL_WHY,anthropic_opus,anthropic,claude-opus-4-7,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now online only)
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,1,Bed Bath & Beyond,historical_reference,legacy_brand,Bed Bath & Beyond alternatives / HomeGoods / Marshalls / TJ Maxx — Good for discounted name brands and occasional quality finds.
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,2,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond (if available near you) — good for home goods, though selection and pricing can vary."
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,3,Bed Bath & Beyond,ambiguous,unclear,Best quality for home textiles: Costco or Bed Bath & Beyond-style alternatives if available
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,4,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond / similar home stores — good for variety, though prices can be higher unless on sale."
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,6,Bed Bath & Beyond,historical_reference,legacy_brand,"- **Bed Bath & Beyond-style alternatives / department stores** like **Macy’s, Kohl’s, JCPenney**: Often good for **higher-quality bedding and towels**, especially on sale."
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,7,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond (if available near you) — lots of household essentials, though pricing can vary"
p1_functional,FUNCTIONAL_WHY,openai_mini,openai,gpt-5.4-mini,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond used to be a major pick, but availability is limited now in many places."
p1_functional,FUNCTIONAL_WHY,openai_flagship,openai,gpt-5.5,1,Bed Bath & Beyond,live_recommendation,legacy_brand,"Bed Bath & Beyond / Wayfair — Good for bedding and kitchen items, especially online."
p1_functional,FUNCTIONAL_WHY,openai_flagship,openai,gpt-5.5,3,Bed Bath & Beyond,live_recommendation,legacy_brand,"- **Bed Bath & Beyond/Wayfair** — good for online home basics, though prices can vary"
p1_functional,FUNCTIONAL_WHY,google_flash,google,gemini-2.5-flash,5,Bed Bath & Beyond,live_with_caveat,both,"Wayfair / Overstock: Similar to Amazon, these online retailers offer a massive selection of home goods, often with good sales. (Note: Bed Bath & Beyond is now primarily an online retailer through Overstock)."
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,1,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now online via Overstock)
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,2,Bed Bath & Beyond,live_with_caveat,both,"Bed Bath & Beyond (online via Overstock.com) | Premium options (e.g., Brooklinen dupes, Cuisinart kitchenware) | Fewer physical stores; shipping fees"
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,3,Bed Bath & Beyond,live_with_caveat,both,"Bed Bath & Beyond (now Overstock.com) | Premium/specialty | $$–$$$ | High-end linens (e.g., Brooklinen dupes), 20% coupons often. Mostly online post-bankruptcy."
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,4,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now via Overstock.com)
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,5,Bed Bath & Beyond,live_with_caveat,both,Bed Bath & Beyond (now Overstock.com) | Premium-ish | $$$ | Clearance deals on high-thread-count linens; more upscale feel.
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,6,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now online via Overstock)
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,7,Bed Bath & Beyond,live_with_caveat,both,Bed Bath & Beyond (now online via Overstock)
p1_functional,FUNCTIONAL_WHY,xai_grok,xai,grok-4-1-fast,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond (online) | Specialty items | $$–$$$ | High-thread-count sheets, plush towels; coupons often 20% off."
p2_contextual,CONTEXTUAL_WHEN,anthropic_sonnet,anthropic,claude-sonnet-4-6,1,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond - though their current status has changed significantly
p2_contextual,CONTEXTUAL_WHEN,anthropic_sonnet,anthropic,claude-sonnet-4-6,2,Bed Bath & Beyond,status_correction,legacy_brand,"Bed Bath & Beyond / Zola - Note: BB&B went through bankruptcy, so Zola has absorbed much of that market - Zola is now quite popular and lets you combine multiple stores"
p2_contextual,CONTEXTUAL_WHEN,anthropic_sonnet,anthropic,claude-sonnet-4-6,3,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond - though check their current status as they've had business changes
p2_contextual,CONTEXTUAL_WHEN,anthropic_sonnet,anthropic,claude-sonnet-4-6,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (check current status as they've had business changes)
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,2,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond / Bed Bath (now online-focused) – Wide range of price points and brands, though their in-store presence has shrunk significantly."
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,3,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now online-only via Overstock) – Historically strong but less robust now.
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,4,Bed Bath & Beyond,live_recommendation,legacy_brand,Bed Bath & Beyond / Macy's – Wide range with frequent sales and registry perks.
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,5,Bed Bath & Beyond,live_with_caveat,both,"Bed Bath & Beyond (relaunched online via Beyond, Inc.) – Historically a registry favorite, though the experience is different now post-bankruptcy."
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,6,Bed Bath & Beyond,live_with_caveat,both,"Bed Bath & Beyond / Buy Buy Baby (now online via Beyond) – Historically popular, though their offerings have changed since restructuring. Worth checking current status."
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,7,Bed Bath & Beyond,live_with_caveat,both,Bed Bath & Beyond (now under Beyond/Overstock) – Still around online; good variety though the in-store experience is gone.
p2_contextual,CONTEXTUAL_WHEN,anthropic_opus,anthropic,claude-opus-4-7,8,Bed Bath & Beyond,live_with_caveat,both,"Bed Bath & Beyond (now online-only via Beyond/Overstock) – Still offers registries, though the experience has changed since their store closures."
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,1,,status_correction,legacy_brand,"Since the classic BBB registry landscape has changed, many couples now use: - Target - Amazon - Macy’s - Nordstrom"
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,2,Bed Bath & Beyond,historical_reference,legacy_brand,"Bed Bath & Beyond — Historically a go-to for broad home goods, though availability and registry experience can vary a lot depending on location and current operations."
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,4,Bed Bath & Beyond,historical_reference,legacy_brand,"4. Bed Bath & Beyond   - Historically a top choice for home goods, though availability and registry operations have changed a lot in recent years depending on location/ownership - If available in your area, it can still be useful for broad home items"
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,5,Bed Bath & Beyond,historical_reference,legacy_brand,"### 6. **Bed Bath & Beyond**   **Best for:** broad home registry selection   - Historically a top registry choice for bedding, kitchen, and bath goods   - Depending on your location and current store availability, the registry experience may vary, so it’s worth checking current service status before relying on it"
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,6,Bed Bath & Beyond,historical_reference,legacy_brand,"Bed Bath & Beyond Registry   If available in your area, this has historically been a classic choice for home goods, though availability and registry features may vary depending on local operations and current brand status."
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,7,Bed Bath & Beyond,historical_reference,legacy_brand,"4. Bed Bath & Beyond-style options / The Knot registry partners - Historically popular for broad home essentials - If you’re using a registry aggregator like The Knot, you can combine items from multiple stores into one registry"
p2_contextual,CONTEXTUAL_WHEN,openai_mini,openai,gpt-5.4-mini,8,Bed Bath & Beyond,live_with_caveat,legacy_brand,"5. **Bed Bath & Beyond / similar home goods registry options** **Best for:** traditional home goods registry shoppers   **Great for:** bedding, bath, kitchen, storage, small appliances   **Pros:** - Historically one of the most registry-friendly categories - Wide assortment of practical household items   **Cons:** - Availability and experience can vary depending on current store/online status in your area"
p2_contextual,CONTEXTUAL_WHEN,google_flash,google,gemini-2.5-flash,6,Bed Bath & Beyond,live_with_caveat,legacy_brand,Bed Bath & Beyond (now online-only via Overstock): *Pros:* Historically a go-to registry spot. The brand now operates as an online-only retailer under Overstock.com.
p2_contextual,CONTEXTUAL_WHEN,xai_grok,xai,grok-4-1-fast,1,Bed Bath & Beyond,live_with_caveat,legacy_brand,"Bed Bath & Beyond (Massive Variety, Now via Overstock)"
p2_contextual,CONTEXTUAL_WHEN,xai_grok,xai,grok-4-1-fast,2,Bed Bath & Beyond,live_with_caveat,both,Bed Bath & Beyond (via BedBathandBeyond.com or Overstock) — Massive variety at all price points...
p2_contextual,CONTEXTUAL_WHEN,xai_grok,xai,grok-4-1-fast,3,Bed Bath & Beyond,live_with_caveat,both,"3. **Bed Bath & Beyond (via BedBathandBeyond.com or Overstock)**    - **Why it's great**: Affordable to mid-range everything—cookware (Cuisinart, Pyrex), bedding (hotel-style sheets), and 1,000+ kitchen tools."
p2_contextual,CONTEXTUAL_WHEN,xai_grok,xai,grok-4-1-fast,4,Bed Bath & Beyond,live_with_caveat,both,Bed Bath & Beyond (Best for Bedding; Now via Bed Bath & Beyond / Overstock)
