brand_canonical,market_tier,final_query_tier,acquisition_query,entity_label,entity_lookup_url,lookup_timestamp_utc,notes
Asana,incumbent,T1,/m/0c3z_p8,"Asana, Inc. - Software",https://trends.google.com/trends/explore?q=%2Fm%2F0c3z_p8,2026-05-10T03:49:00Z,"Disambiguates from yoga pose. Test query confirmed entity pass-through and non-zero signal."
Monday,incumbent,T1,/g/11h1m5p60w,"monday.com - Software company",https://trends.google.com/trends/explore?q=%2Fg%2F11h1m5p60w,2026-05-10T04:12:26Z,"Picked Software-company over Topic-typed entity (/g/11sbm9k1r4) for company-level consistency with Asana."
Jira,incumbent,T1,/g/11bc5c0lmw,Jira - Software,https://trends.google.com/trends/explore?q=%2Fg%2F11bc5c0lmw,2026-05-10T04:12:26Z,"Atlassian (parent) excluded as wrong unit of analysis."
Trello,incumbent,T1,/m/0h665rh,Trello - Software,https://trends.google.com/trends/explore?q=%2Fm%2F0h665rh,2026-05-10T04:12:26Z,"Clear product entity. Films/record label noise easily disambiguated."
Confluence,incumbent,T1,/m/05nyz0,Confluence - Software,https://trends.google.com/trends/explore?q=%2Fm%2F05nyz0,2026-05-10T04:12:26Z,"Picked Software entity over Topic concept entry."
Notion,mid-tier,T1,/g/11fd7dbddz,Notion - Productivity software,https://trends.google.com/trends/explore?q=%2Fg%2F11fd7dbddz,2026-05-10T04:12:26Z,"Cleanest type label of any brand in the registry."
ClickUp,mid-tier,T1,/g/11g9n26732,ClickUp - Project management software company,https://trends.google.com/trends/explore?q=%2Fg%2F11g9n26732,2026-05-10T04:12:26Z,"Two ClickUp entities; picked company-level for consistency."
Smartsheet,mid-tier,T1,/m/010h7t67,Smartsheet Inc - Software company,https://trends.google.com/trends/explore?q=%2Fm%2F010h7t67,2026-05-10T04:12:26Z,"Three Smartsheet entities; picked Inc/company-level."
Airtable,mid-tier,T1,/g/11c3ypc1q3,Airtable - Web site,https://trends.google.com/trends/explore?q=%2Fg%2F11c3ypc1q3,2026-05-10T04:12:26Z,"Brand-named entity preferred over legal name (Formagrid, Inc.)."
Basecamp,mid-tier,T1,/m/0d04n6,Basecamp - Software,https://trends.google.com/trends/explore?q=%2Fm%2F0d04n6,2026-05-10T04:12:26Z,"Picked over 37signals (parent) and Garmin BaseCamp (different product)."
Coda,mid-tier,T1,/g/11f3h7_jw9,Coda - Document editor,https://trends.google.com/trends/explore?q=%2Fg%2F11f3h7_jw9,2026-05-10T04:17:11Z,"Required retry with 'coda.io' search input. Document-editor type confirms brand-product match."
Wrike,mid-tier,T2,wrike,,,,"No T1 lookup attempted; bare-name search has low noise per registry. Distinctive name."
Workfront,mid-tier,T2,workfront,,,,"No T1 lookup attempted; distinctive name. Adobe Workfront is the formal product name; bare 'workfront' captures both."
Todoist,challenger,T2,todoist,,,,"No T1 lookup attempted; distinctive name."
GitHub Projects,challenger,T2,github projects,,,,"No T1 lookup attempted; distinctive multi-word phrase."
Linear,challenger,T3,linear project management,,,,"Both first pass ('Linear app') and retry ('linear.app') returned only algebra textbooks. No PM-tool entity exists in Trends for Linear. Compound query per pre-reg §5.2 T3."
Height,challenger,T3,height project management,,,,"Both first pass ('Height app') and retry ('height.app') returned only unrelated novels/influencers. No entity exists. Compound query per pre-reg §5.2 T3."
Motion,challenger,T3,motion project management,,,,"Both first pass ('Motion app') and retry ('usemotion') returned only books/topics. No PM-tool entity. Compound query per pre-reg §5.2 T3."
Shortcut,challenger,T3,shortcut project management,,,,"Retry with 'shortcut.com' returned no entity. The first-pass /g/11jdl13_9h 'Shortcut Software' is unlikely to be the PM tool (if it were, shortcut.com retry would have surfaced it). Compound query per pre-reg §5.2 T3."
