brand_canonical,launch_year,brand_age_years,source_type,source_url,notes
Asana,2012,14,Wikipedia,"https://en.wikipedia.org/wiki/Asana,_Inc.",Founded 2008; commercial GA April 2012. Pre-reg uses product launch year per §5.3.
Monday,2014,12,Wikipedia,https://en.wikipedia.org/wiki/Monday.com,Founded 2012 as daPulse; public product 2014; renamed monday.com Nov 2017. Using product launch year.
Jira,2002,24,Wikipedia,https://en.wikipedia.org/wiki/Jira_(software),"Atlassian product, released April 2002."
Trello,2011,15,Wikipedia,https://en.wikipedia.org/wiki/Trello,Launched September 2011 by Fog Creek; acquired by Atlassian Jan 2017.
Confluence,2004,22,Wikipedia,https://en.wikipedia.org/wiki/Confluence_(software),"Atlassian product, released March 2004."
Notion,2016,10,Wikipedia,https://en.wikipedia.org/wiki/Notion_(productivity_software),Company founded 2013; Notion 1.0 released August 2016 (used here); Notion 2.0 March 2018.
ClickUp,2017,9,Wikipedia,https://en.wikipedia.org/wiki/ClickUp,Founded and launched 2017 by Zeb Evans and Alex Yurkowski.
Smartsheet,2006,20,Wikipedia,https://en.wikipedia.org/wiki/Smartsheet,Company founded 2005; product launched 2006.
Airtable,2015,11,Wikipedia,https://en.wikipedia.org/wiki/Airtable,Company founded 2012; public launch 2015.
Basecamp,2004,22,Wikipedia,https://en.wikipedia.org/wiki/Basecamp_(company),Released February 2004 by 37signals.
Coda,2017,9,Wikipedia,https://en.wikipedia.org/wiki/Coda_(document_editor),Company founded 2014; public beta October 2017; GA April 2019. Using public beta as product launch.
Wrike,2006,20,Wikipedia,https://en.wikipedia.org/wiki/Wrike,Founded 2006 by Andrew Filev.
Workfront,2002,24,Wikipedia,https://en.wikipedia.org/wiki/Workfront,Founded as AtTask 2001; product launched 2002; renamed Workfront 2015; acquired by Adobe 2020.
Todoist,2007,19,Wikipedia,https://en.wikipedia.org/wiki/Todoist,Launched January 2007 by Amir Salihefendić.
GitHub Projects,2016,10,Corporate blog,https://github.blog/news-insights/product-news/introducing-projects-for-organizations/,GitHub Projects boards introduced September 2016. Modern Projects (v2) GA 2022; using original 2016 launch.
Linear,2019,7,Y Combinator,https://www.ycombinator.com/companies/linear,"Founded 2019 by Karri Saarinen, Tuomas Artman, Jori Lallo. Product launched 2019 (Product Hunt)."
Height,2021,5,Corporate (Medium),https://medium.com/p/719ef4210e18,"Company founded 2018; public access launched September 2021 (Series A announcement). DEFUNCT: shut down 24 September 2025. Per registry-frozen-ness, retained in analysis as phantom brand. See pre-reg §4 and v0.11 paper Discussion."
Motion,2019,7,Y Combinator,https://www.ycombinator.com/companies/motion,"Founded 2019 by Harry Qi, Omid Rooholfada, Ethan Yu. Y Combinator Spring 2020."
