brand_canonical,category,market_tier,search_input,target_tier,final_query_tier,acquisition_query,entity_label,lookup_ts,rationale
California Olive Ranch,oliveoil,incumbent,California Olive Ranch,T1,T1,/g/11cn92g97s,California Olive Ranch — Topic,2026-05-11T02:13:52Z,PIVOT BRAND. Phase A validated 2026-05-11: mean 83.5; CV 12.4%; PASS.
Bertolli,oliveoil,incumbent,Bertolli olive oil,T1,T3,Bertolli olive oil,,2026-05-11T02:22:11Z,DOWNGRADE from T1 target. Phase B returned only product-line entities (Extra Light; Organic EVO; sauces); no brand-level Topic for Bertolli the olive oil. Compound restricts multi-category brand (pasta; sauces) to olive oil scope.
Brightland,oliveoil,challenger,Brightland,T1,T1,/g/11ng0dpbrv,Brightland — Topic,2026-05-11T02:22:11Z,Phase B suggestion #1 brand-level Topic entity. Polysemy candidates (#5 Brightland Resort & Spa) disambiguated by Topic-mid.
Castillo de Canena,oliveoil,mid-tier,Castillo de Canena,T1,T1,/g/11dxd55q7z,Castillo de Canena — Topic,2026-05-11T02:22:11Z,Phase B suggestion #1 brand-level Topic. Skipped #3 (castle location) which would conflate brand with estate.
Cobram Estate,oliveoil,incumbent,Cobram Estate,T1,T1,/g/11m9tx9srq,Cobram Estate — Topic,2026-05-11T02:22:11Z,Phase B suggestion #1 brand-level Topic. Product-specific entities (#2-5) excluded for breadth.
Colonna,oliveoil,mid-tier,Marina Colonna olive oil,T3,EXCLUDED_E1a,Marina Colonna olive oil,,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 4.2%. Niche-on-both layers: AI Presence > 0 while Trends signal below global display threshold.
Frantoio Muraglia,oliveoil,mid-tier,Frantoio Muraglia,T2,T1,/g/11s888kbqf,Frantoio Muraglia — Topic,2026-05-11T02:22:11Z,Solo Phase B validation FAIL_API; bundled validation marginal PASS (1/7 day at value 58; mean 8.3; range 0-58). INCLUDED per bundled-rescue amendment to E1a; E5 sparsity flag set. AI Presence 36.5% at v0.9 matched subset.
Frescobaldi Laudemio,oliveoil,challenger,Frescobaldi Laudemio,T2,EXCLUDED_E1a,/g/11zb38xh15,Frescobaldi Laudemio — Topic,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 22.9%. STRONG scale-mismatch case: AI Presence > 0 while Trends signal below global display threshold.
Graza,oliveoil,challenger,Graza,T1,T1,/g/11tsqs7vvg,Graza — Topic,2026-05-11T02:22:11Z,Phase B suggestion #1 brand-level Topic. Disambiguates from Graz (Austria) #2 and Grazalema (Spain) #3.
Kosterina,oliveoil,challenger,Kosterina,T2,T1,/g/11nntdmlgp,Kosterina — Topic,2026-05-11T02:22:11Z,UPGRADE from T2 target. Phase B suggestion #1 brand-level Topic preferred over T2 bare string.
