arm,brand,cascade_order,cell,latency_ms,model_id,probe_text,recognized,resolved_version,response_text,slot,timestamp
B,Mercedes-Benz,1,A,5062,claude-opus-4-8,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,Yes.,claude_opus,2026-06-05T18:55:19.343926+00:00
B,Mercedes-Benz,1,A,1305,claude-sonnet-4-6,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:55:20.649236+00:00
B,Mercedes-Benz,1,A,1824,gpt-5.5-2026-04-23,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:55:22.473133+00:00
B,Mercedes-Benz,1,A,1364,gpt-5.4-mini-2026-03-17,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:55:23.837257+00:00
B,Mercedes-Benz,1,A,1327,gemini-3.5-flash,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes,gemini_flash,2026-06-05T18:55:25.164333+00:00
B,Mercedes-Benz,1,A,879,gemini-3.1-flash-lite,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.1-flash-lite,Yes.,gemini_flash_lite,2026-06-05T18:55:26.043837+00:00
B,Jaguar,2,A,936,claude-opus-4-8,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,Yes.,claude_opus,2026-06-05T18:55:26.980108+00:00
B,Jaguar,2,A,1460,claude-sonnet-4-6,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:55:28.440015+00:00
B,Jaguar,2,A,1654,gpt-5.5-2026-04-23,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:55:30.094432+00:00
B,Jaguar,2,A,892,gpt-5.4-mini-2026-03-17,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:55:30.986878+00:00
B,Jaguar,2,A,1447,gemini-3.5-flash,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes,gemini_flash,2026-06-05T18:55:32.434186+00:00
B,Jaguar,2,A,653,gemini-3.1-flash-lite,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.1-flash-lite,Yes.,gemini_flash_lite,2026-06-05T18:55:33.086901+00:00
B,Cadillac,3,A,4450,claude-opus-4-8,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,Yes.,claude_opus,2026-06-05T18:55:37.537073+00:00
B,Cadillac,3,A,1351,claude-sonnet-4-6,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:55:38.887849+00:00
B,Cadillac,3,A,1844,gpt-5.5-2026-04-23,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:55:40.732024+00:00
B,Cadillac,3,A,816,gpt-5.4-mini-2026-03-17,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:55:41.547697+00:00
B,Cadillac,3,A,1149,gemini-3.5-flash,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes.,gemini_flash,2026-06-05T18:55:42.697050+00:00
B,Cadillac,3,A,559,gemini-3.1-flash-lite,Is the brand Cadillac commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.1-flash-lite,Yes.,gemini_flash_lite,2026-06-05T18:55:43.256386+00:00
B,Rolls-Royce,4,A,1891,claude-opus-4-8,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,"Yes.

However, it's worth noting that ""Rolls-Royce"" actually refers to two separate companies today:

1. **Rolls-Royce Motor Cars** – the luxury automobile man",claude_opus,2026-06-05T18:55:45.147225+00:00
B,Rolls-Royce,4,A,1534,claude-sonnet-4-6,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:55:46.681391+00:00
B,Rolls-Royce,4,A,2787,gpt-5.5-2026-04-23,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:55:49.468114+00:00
B,Rolls-Royce,4,A,749,gpt-5.4-mini-2026-03-17,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:55:50.217034+00:00
B,Rolls-Royce,4,A,1470,gemini-3.5-flash,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes,gemini_flash,2026-06-05T18:55:51.686952+00:00
B,Rolls-Royce,4,A,483,gemini-3.1-flash-lite,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.1-flash-lite,Yes.,gemini_flash_lite,2026-06-05T18:55:52.170115+00:00
B,Bentley,5,A,1187,claude-opus-4-8,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,Yes.,claude_opus,2026-06-05T18:55:53.357452+00:00
B,Bentley,5,A,1401,claude-sonnet-4-6,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:55:54.758311+00:00
B,Bentley,5,A,1334,gpt-5.5-2026-04-23,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:55:56.092409+00:00
B,Bentley,5,A,608,gpt-5.4-mini-2026-03-17,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:55:56.700426+00:00
B,Bentley,5,A,1106,gemini-3.5-flash,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes.,gemini_flash,2026-06-05T18:55:57.807048+00:00
B,Bentley,5,A,679,gemini-3.1-flash-lite,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.1-flash-lite,Yes.,gemini_flash_lite,2026-06-05T18:55:58.485739+00:00
B,Porsche,6,A,883,claude-opus-4-8,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-8,Yes.,claude_opus,2026-06-05T18:55:59.368432+00:00
B,Porsche,6,A,1294,claude-sonnet-4-6,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-6,Yes.,claude_sonnet,2026-06-05T18:56:00.662364+00:00
B,Porsche,6,A,1362,gpt-5.5-2026-04-23,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.5-2026-04-23,Yes,gpt_4o,2026-06-05T18:56:02.024713+00:00
B,Porsche,6,A,754,gpt-5.4-mini-2026-03-17,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gpt-5.4-mini-2026-03-17,Yes.,gpt_4o_mini,2026-06-05T18:56:02.779008+00:00
B,Porsche,6,A,1197,gemini-3.5-flash,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gemini-3.5-flash,Yes,gemini_flash,2026-06-05T18:56:03.975799+00:00
